miRNA genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
mmu-miR-3079-5p,0.1538839821037367,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-7222-3p,0.1538839821037367,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-7020-3p,0.1538839821037367,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-7044-5p,0.1538839821037367,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-709,0.1538839821037367,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-7056-3p,1.002711986086804,-1.2094794636562154,2.2503893089947447,-0.5374534347554705,0.5909544416784225,0.9978624094514408
mmu-miR-6538,4.336120689637184,-1.2088683574235968,1.1220018515971946,-1.0774210004223663,0.28129222634155626,0.9978624094514408
mmu-miR-3077-3p,9.667182912093706,-1.2044421599268085,0.8041338515312961,-1.497813029053824,0.13418183473267373,0.9978624094514408
mmu-miR-7012-5p,0.48744569306658564,-1.1900467001859476,3.192897463404564,-0.3727168547771056,0.7093591906439087,0.9978624094514408
mmu-miR-7066-5p,3.614088586586567,-1.1859082463890935,1.292173504276199,-0.9177623921745485,0.35874327519543625,0.9978624094514408
mmu-miR-8112,1.0712653706921142,-1.1722077916782336,2.080644761927024,-0.5633867987116521,0.5731715245314426,0.9978624094514408
mmu-miR-876-5p,0.9150203333173286,-1.1690326334610814,2.5023588250506723,-0.467172262330287,0.6403766369949013,0.9978624094514408
mmu-miR-466o-3p,0.5069773273473382,-1.1605989496231524,3.3877653931462017,-0.3425853962529884,0.7319103900485819,0.9978624094514408
mmu-miR-5116,0.4756645902455985,-1.1604163385605035,3.46195733964001,-0.3351908255117808,0.737481142317935,0.9978624094514408
mmu-miR-7024-3p,1.9348281804311611,-1.1507961199917025,1.7318872053600183,-0.6644752131836896,0.5063862081181669,0.9978624094514408
mmu-miR-7115-3p,1.7468023218553734,-1.1478346096501444,1.644041821438994,-0.6981784737358261,0.4850655868380501,0.9978624094514408
mmu-miR-6921-3p,1.0340247231885435,-1.107422332708521,2.226143814968494,-0.49746216990216957,0.618863173729729,0.9978624094514408
mmu-miR-669d-5p,14.46654148346263,-1.105854875371748,0.6455305188977802,-1.7130946454087947,0.08669512897103791,0.9978624094514408
mmu-miR-7117-5p,3.2746693153357396,-1.105250829251887,1.4900637244101331,-0.7417473569389921,0.4582404213135395,0.9978624094514408
mmu-miR-301b-3p,7.0615759200498855,-1.1009712087055807,0.8983253824795789,-1.225581766004044,0.22035610301078523,0.9978624094514408
mmu-miR-455-5p,1.7781150589571129,-1.0943596698027944,1.6558249835613141,-0.6609150608713901,0.508666786887962,0.9978624094514408
mmu-miR-223-5p,0.877779685813758,-1.0912926376913437,2.3680072641887264,-0.4608485177367976,0.6449072898648327,0.9978624094514408
mmu-miR-466a-3p,30.198541086153266,-1.0868917493704753,0.5058026570926907,-2.1488454719036745,0.031646651467071456,0.9978624094514408
mmu-miR-3080-5p,1.792331935031824,-1.083713769060554,1.5700612956748752,-0.6902365990715863,0.4900454110181952,0.9978624094514408
mmu-miR-3070-5p,13.296081478193749,-1.0831358254961365,0.6386408703237909,-1.6960014240037389,0.08988561038508361,0.9978624094514408
mmu-miR-1247-5p,75.3795552958951,-1.082851013239795,0.49314507533716256,-2.1958061986109287,0.028105817810855232,0.9978624094514408
mmu-miR-7043-3p,0.4815177826647547,-1.07772246734375,3.2067881007944528,-0.33607536060045684,0.736814038278244,0.9978624094514408
mmu-miR-7042-5p,0.45020504556301494,-1.0764979543222601,3.275924879217942,-0.3286088643703122,0.7424513470573775,0.9978624094514408
mmu-miR-5128,6.850371320762779,-1.0688255722433826,0.8850110907176818,-1.207697376285579,0.227163687614784,0.9978624094514408
mmu-miR-3572-3p,3.6507316358332282,-1.031039126030736,1.1606368678580625,-0.8883391132779564,0.37435836623254803,0.9978624094514408
mmu-miR-3076-3p,12.202714817940688,-1.0111355662403065,0.6482543809290547,-1.5597820793608577,0.11881138777019044,0.9978624094514408
mmu-miR-193a-3p,5.026068601444385,-0.9981972669482666,1.0079531573796687,-0.9903210874831088,0.32201720260037203,0.9978624094514408
mmu-miR-302d-3p,0.42474550088043145,-0.9862091382793904,3.603387962091129,-0.2736894135892796,0.7843233139732001,0.9978624094514408
mmu-miR-292a-5p,0.42474550088043145,-0.9862091382793904,3.603387962091129,-0.2736894135892796,0.7843233139732001,0.9978624094514408
mmu-miR-6962-5p,1.6183828350271867,-0.9742477546043495,1.8523460572653683,-0.5259534258099906,0.5989205671787157,0.9978624094514408
mmu-miR-1195,20.080435917267923,-0.9700103683944333,0.5628134540108995,-1.723502452689498,0.08479770201873556,0.9978624094514408
mmu-miR-32-5p,4.38041513244152,-0.9688079537775115,1.2182611599454565,-0.7952383164057258,0.4264748871059676,0.9978624094514408
mmu-miR-669a-5p,9.588675203960907,-0.9662651046683584,0.9374688903633608,-1.0307169812257304,0.30267355912782024,0.9978624094514408
mmu-miR-130a-5p,2.1719567427912714,-0.9571993441891853,1.6130891040888267,-0.5933952078424528,0.5529166952322142,0.9978624094514408
mmu-miR-7062-5p,1.8069421772231227,-0.9553397515979558,1.619359357042592,-0.5899491965407088,0.555224709997646,0.9978624094514408
mmu-miR-615-3p,2.394319391517644,-0.952983342480035,1.4503425459199153,-0.657074664989285,0.5111329083065799,0.9978624094514408
mmu-miR-374c-5p,2.322741953863489,-0.9271982320655401,1.4835216120512178,-0.624998129136476,0.5319722859868911,0.9978624094514408
mmu-miR-466m-5p,1.3871180684321451,-0.91260073772928,2.1285268198215967,-0.42874758693703935,0.668106925639739,0.9978624094514408
mmu-miR-6900-3p,2.8753142939081635,-0.9066873266239192,1.3961833923531932,-0.6494041768365012,0.5160771649516656,0.9978624094514408
mmu-miR-6934-5p,3.2999196772850343,-0.9052920029043364,1.1828253086626894,-0.7653640789339095,0.4440547766448858,0.9978624094514408
mmu-miR-1193-5p,1.0546282753025586,-0.8979771263058982,2.155571035921755,-0.41658433488920465,0.6769824694325515,0.9978624094514408
mmu-miR-6998-3p,1.279426697282655,-0.8974142797988177,1.896994384095307,-0.47307165868432566,0.6361620558177707,0.9978624094514408
mmu-miR-7047-5p,1.7442419850369681,-0.8969696417503363,1.6042280450824904,-0.5591285132433983,0.5760740164742799,0.9978624094514408
mmu-miR-7068-3p,3.3312324143867738,-0.8784490628688324,1.1958827903603928,-0.7345611710024706,0.46260679293880413,0.9978624094514408
mmu-miR-669a-3p,88.10215901335191,-0.8767712200270416,0.5507899104311147,-1.5918432843854646,0.11141992173730497,0.9978624094514408
mmu-miR-6948-3p,11.695807011597902,-0.8743207140982027,0.6903040675531944,-1.2665733192001334,0.20530789759853152,0.9978624094514408
mmu-miR-6912-3p,3.656575509790595,-0.8742771642441113,1.1404779009755701,-0.7665884306011107,0.4433262563077346,0.9978624094514408
mmu-miR-466h-3p,18.101873241814125,-0.8738067150481629,0.5687834405656543,-1.5362731273947836,0.12447140736879105,0.9978624094514408
mmu-miR-6908-5p,2.2624775349310586,-0.8697598835799919,1.5361785614906096,-0.5661841047540935,0.5712686342170137,0.9978624094514408
mmu-miR-7659-5p,3.1069724266197927,-0.8631457345561176,1.26172704421707,-0.6840986237968124,0.49391289083076484,0.9978624094514408
mmu-miR-698-5p,1.2539671526000713,-0.8618761010437759,1.9338823794849724,-0.4456714173450967,0.655834614079108,0.9978624094514408
